,year,state,house,district,name,bio,substring1,substring2,substring3,substring4,substring5,substring6,substring7,substring8,substring9,substring10,substring11,substring12,substring13,substring14,substring15,substring16,substring17,substring18,substring19,substring20,substring21,substring22,substring23,substring24,substring25,substring26,substring27,substring28,substring29,substring30,substring31,substring32,substring33,substring34,substring35,substring36,substring37,substring38,substring39,substring40,substring41,substring42,substring43,substring44,substring45,substring46,substring47,substring48,substring49,substring50,substring51,substring52,substring53,substring54,substring55,substring56,substring57,substring58,substring59,substring60,substring61,substring62,substring63,substring64,substring65,substring66,substring67,substring68,substring69,substring70,substring71,substring72,substring73,substring74,substring75,substring76,substring77,substring78,substring79,substring80,substring81,substring82,substring83,substring84,substring85,substring86,substring87,substring88,substring89,substring90,substring91,substring92,substring93,substring94,substring95,substring96,substring97,substring98,substring99,substring100,fips1,error1,fips2,error2,fips3,error3,fips4,error4,fips5,error5,fips6,error6,fips7,error7,fips8,error8,fips9,error9,fips10,error10,fips11,error11,fips12,error12,fips13,error13,fips14,error14,fips15,error15,fips16,error16,fips17,error17,fips18,error18,fips19,error19,fips20,error20,fips21,error21,fips22,error22,fips23,error23,fips24,error24,fips25,error25,fips26,error26,fips27,error27,fips28,error28,fips29,error29,fips30,error30,fips31,error31,fips32,error32,fips33,error33,fips34,error34,fips35,error35,fips36,error36,fips37,error37,fips38,error38,fips39,error39,fips40,error40,fips41,error41,fips42,error42,fips43,error43,fips44,error44,fips45,error45,fips46,error46,fips47,error47,fips48,error48,fips49,error49,fips50,error50,fips51,error51,fips52,error52,fips53,error53,fips54,error54,fips55,error55,fips56,error56,fips57,error57,fips58,error58,fips59,error59,fips60,error60,fips61,error61,fips62,error62,fips63,error63,fips64,error64,fips65,error65,fips66,error66,fips67,error67,fips68,error68,fips69,error69,fips70,error70,fips71,error71,fips72,error72,fips73,error73,fips74,error74,fips75,error75,fips76,error76,fips77,error77,fips78,error78,fips79,error79,fips80,error80,fips81,error81,fips82,error82,fips83,error83,fips84,error84,fips85,error85,fips86,error86,fips87,error87,fips88,error88,fips89,error89,fips90,error90,fips91,error91,fips92,error92,fips93,error93,fips94,error94,fips95,error95,fips96,error96,fips97,error97,fips98,error98,fips99,error99,fips100,error100
500,2004,SC,H,3,J. GRESHAM BARRETT,"J. GRESHAM BARRETT, Republican, of Westminster, SC; born on February 14, 1961, in Oconee, SC; education: B.S., Business Administration, The Citadel, 1983; military service: U.S. Army, 1983-1987; profession: small businessman; owner and operator of Barrett's Furniture; organizations: Westminster Rotary Club; Oconee County Boy Scouts; Westminster Chamber of Commerce; Oconee County Red Cross; religion: Baptist; attends Westminster Baptist Church; public service: South Carolina House of Representatives, 1987-2002; family: married to Natalie; children: Madison, Jeb, and Ross; elected to the 108th Congress on November 5, 2002.","J. GRESHAM BARRETT, Republican, of Westminster, SC"," born on February 14, 1961, in Oconee, SC"," education: B.S., Business Administration, The Citadel, 1983"," military service: U.S. Army, 1983-1987", profession: small businessman, owner and operator of Barrett's Furniture, organizations: Westminster Rotary Club, Oconee County Boy Scouts, Westminster Chamber of Commerce, Oconee County Red Cross, religion: Baptist, attends Westminster Baptist Church," public service: South Carolina House of Representatives, 1987-2002", family: married to Natalie," children: Madison, Jeb, and Ross"," elected to the 108th Congress on November 5, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,45019,,,No matched places from Google,,No matched places from Google,,No matched places from Google,08001,,45073,,,No matched places from Google,45073,,,No matched places from Google,24013,,45063,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,2016,VA,H,4,J. RANDY FORBES,"J. RANDY FORBES, Republican, of Chesapeake, VA; born in Chesapeake, February 17, 1952; education: B.A., Randolph-Macon College; J.D., University of Virginia School of Law; professional: attorney; religion: Baptist; public service: Virginia House of Delegates, 1990-97; Virginia State Senate, 1997-2001; Republican House Floor Leader, 1994-97; Republican Senate Floor Leader, 1998-2001; Chairman of the Republican Party of Virginia, 1996-2000; married: Shirley; children: Neil, Jamie, Jordan, and Justin; committees: Armed Services; Judiciary; elected to the 107th Congress, by special election, on June 19, 2001; reelected to each succeeding Congress.","J. RANDY FORBES, Republican, of Chesapeake, VA"," born in Chesapeake, February 17, 1952"," education: B.A., Randolph-Macon College"," J.D., University of Virginia School of Law", professional: attorney, religion: Baptist," public service: Virginia House of Delegates, 1990-97"," Virginia State Senate, 1997-2001"," Republican House Floor Leader, 1994-97"," Republican Senate Floor Leader, 1998-2001"," Chairman of the Republican Party of Virginia, 1996-2000", married: Shirley," children: Neil, Jamie, Jordan, and Justin", committees: Armed Services, Judiciary," elected to the 107th Congress, by special election, on June 19, 2001", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,,No matched places from Google,51085,,51003,,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No county matched to string from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,2000,NE,S,1,J. ROBERT KERREY,"J. ROBERT KERREY, Democrat, of Omaha, NE; born in Lincoln, NE, August 27, 1943; graduated, Northeast High School, Lincoln, 1961; B.S. degree in pharmacy, University of Nebraska, Lincoln, 1966; served, U.S. Navy, lieutenant (jg), 1966-69; restaurateur; Governor of Nebraska, 1983-87; member: VFW, American Legion, Disabled American Veterans, Vietnam Veterans of America, Chamber of Commerce, Medal of Honor Society; two children: Benjamin and Lindsey; committees: Agriculture, Nutrition and Forestry; Finance; vice chairman, Select Committee on Intelligence; elected to the U.S. Senate on November 8, 1988; reelected on November 8, 1994.","J. ROBERT KERREY, Democrat, of Omaha, NE"," born in Lincoln, NE, August 27, 1943"," graduated, Northeast High School, Lincoln, 1961"," B.S. degree in pharmacy, University of Nebraska, Lincoln, 1966"," served, U.S. Navy, lieutenant (jg), 1966-69", restaurateur," Governor of Nebraska, 1983-87"," member: VFW, American Legion, Disabled American Veterans, Vietnam Veterans of America, Chamber of Commerce, Medal of Honor Society", two children: Benjamin and Lindsey," committees: Agriculture, Nutrition and Forestry", Finance," vice chairman, Select Committee on Intelligence"," elected to the U.S. Senate on November 8, 1988"," reelected on November 8, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31055,,,No matched places from Google,31109,,31109,,,No matched places from Google,,No matched places from Google,31109,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,2004,AZ,H,5,J.D. HAYWORTH,"J.D. HAYWORTH, Republican, of Scottsdale, AZ; born in High Point, NC, on July 12, 1958; graduated, High Point Central High School, 1976; B.A., speech communications and political science, cum laude, North Carolina State University, Raleigh, 1980; broadcaster; public relations consultant; insurance agent; member: Rotary Club of Phoenix (Paul Harris Fellow); Boy Scouts of America (Eagle Scout); married Mary Denise Yancey Hayworth, 1989; three children: Nicole, Hannah, and John Micah; committees: Resources; Ways and Means; elected to the 104th Congress; reelected to each succeeding Congress.","J.D. HAYWORTH, Republican, of Scottsdale, AZ"," born in High Point, NC, on July 12, 1958"," graduated, High Point Central High School, 1976"," B.A., speech communications and political science, cum laude, North Carolina State University, Raleigh, 1980", broadcaster, public relations consultant, insurance agent, member: Rotary Club of Phoenix (Paul Harris Fellow), Boy Scouts of America (Eagle Scout)," married Mary Denise Yancey Hayworth, 1989"," three children: Nicole, Hannah, and John Micah", committees: Resources, Ways and Means, elected to the 104th Congress, reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,More than one matched place from Google,,More than one matched place from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,2006,GA,H,1,JACK KINGSTON,"JACK KINGSTON, Republican, of Savannah, GA; born in Bryan, TX, April, 24, 1955; education: Michigan State University, 1973-74; University of Georgia, 1974-78; insurance salesman; vice president, Palmer and Cay/Carswell; Georgia State Legislature, 1984-92;[[Page 71]]member: Savannah Health Mission, Isle of Hope Community Association, Christ Church; married: Elizabeth Morris Kingston, 1979; children: Betsy, John, Ann, and Jim; vice chairman, Republican Conference; committees: Appropriations; subcommittees: Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; Defense; elected on November 3, 1992 to the 103rd Congress; reelected to each succeeding Congress.","JACK KINGSTON, Republican, of Savannah, GA"," born in Bryan, TX, April, 24, 1955"," education: Michigan State University, 1973-74"," University of Georgia, 1974-78", insurance salesman," vice president, Palmer and Cay/Carswell"," Georgia State Legislature, 1984-92","[[Page 71]]member: Savannah Health Mission, Isle of Hope Community Association, Christ Church"," married: Elizabeth Morris Kingston, 1979"," children: Betsy, John, Ann, and Jim"," vice chairman, Republican Conference", committees: Appropriations," subcommittees: Agriculture, Rural Development, Food and Drug Administration, and Related Agencies", Defense," elected on November 3, 1992 to the 103rd Congress", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,26065,,13059,,,No matched places from Google,,No matched places from Google,13121,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,2000,WA,H,2,JACK METCALF,"JACK METCALF, Republican, of Langley, WA; born in Marysville, WA, November 30, 1927; B.A., Pacific Lutheran University, 1951; University of Washington, 1966; owner of the Log Castle Bed and Breakfast, Langley; teacher, Everett High School; U.S. Army, 1946-47; member: U.S. Fish and Wildlife Service patrol boat skipper with U.S. Marshal Authority, 1947-48; United We Stand America, Concord Coalition, South Whidby Washington Historical Society, South Whidby Washington Kiwanis, Wildcat Steelhead Club, Back Country Horsemen--Skagit County Chapter; Washington State House, 1960-64; Washington State Senate, 1966-74, 1980-92; Washington State Senate assistant Republican whip; chairman, Senate Environmental and Natural Resources Committee, 1988-92; married Norma Metcalf, 1948; four children: Marta, Gayle, Ann and Lea; elected to the 104th Congress; reelected to each succeeding Congress.","JACK METCALF, Republican, of Langley, WA"," born in Marysville, WA, November 30, 1927"," B.A., Pacific Lutheran University, 1951"," University of Washington, 1966"," owner of the Log Castle Bed and Breakfast, Langley"," teacher, Everett High School"," U.S. Army, 1946-47"," member: U.S. Fish and Wildlife Service patrol boat skipper with U.S. Marshal Authority, 1947-48"," United We Stand America, Concord Coalition, South Whidby Washington Historical Society, South Whidby Washington Kiwanis, Wildcat Steelhead Club, Back Country Horsemen--Skagit County Chapter"," Washington State House, 1960-64"," Washington State Senate, 1966-74, 1980-92", Washington State Senate assistant Republican whip," chairman, Senate Environmental and Natural Resources Committee, 1988-92"," married Norma Metcalf, 1948"," four children: Marta, Gayle, Ann and Lea", elected to the 104th Congress, reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,53053,,53033,,53029,,53061,,29097,,,No matched places from Google,,No matched places from Google,53067,,53067,,,More than one matched place from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,2002,NY,H,30,JACK QUINN,"JACK QUINN, Republican, of Hamburg, NY; born on April 13, 1951, in Buffalo, NY; education: B.A., Siena College, Loudonville, NY, 1973; M.A., State University of New York, Buffalo, 1978; teacher; councilman, Hamburg, 1982-84; town supervisor, Hamburg, 1985-92; founder, DARE, 1984; married: the former Mary Beth McAndrews, 1974; children: Jack III, and Kara Elizabeth; elected on November 3, 1992, to the 103rd Congress; reelected to each succeeding Congress.","JACK QUINN, Republican, of Hamburg, NY"," born on April 13, 1951, in Buffalo, NY"," education: B.A., Siena College, Loudonville, NY, 1973"," M.A., State University of New York, Buffalo, 1978", teacher," councilman, Hamburg, 1982-84"," town supervisor, Hamburg, 1985-92"," founder, DARE, 1984"," married: the former Mary Beth McAndrews, 1974"," children: Jack III, and Kara Elizabeth"," elected on November 3, 1992, to the 103rd Congress", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,36001,,36029,,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,2006,RI,S,1,JACK REED,"JACK REED, Democrat, of Cranston, RI; born in Providence, RI, November 12, 1949; graduated, La Salle Academy, Providence, RI, 1967; B.S., U.S. Military Academy, West Point, NY, 1971; M.P.P., Kennedy School of Government, Harvard University, 1973; J.D., Harvard Law School, 1982; served in the U.S. Army, 1967-79; associate professor, Department of Social Sciences, U.S. Military Academy, West Point, NY, 1978-79; 2nd BN (Abn) 504th Infantry, 82nd Airborne Division, Fort Bragg, NC; platoon leader, company commander, battalion staff officer, 1973-77; military awards: Army commendation medal with Oak Leaf Cluster, ranger, senior parachutist, jumpmaster, expert infantryman's badge; lawyer; admitted to the Washington, DC bar, 1983; elected to the Rhode Island State Senate, 1985-90; committees: Armed Services; Banking, Housing, and Urban Affairs; Health, Education, Labor, and Pensions; Joint Economic Committee; elected to the 102nd Congress on November 6, 1990; served three terms in the U.S. House of Representatives; elected to the U.S. Senate, November 5, 1996; reelected to each succeeding Senate term.","JACK REED, Democrat, of Cranston, RI"," born in Providence, RI, November 12, 1949"," graduated, La Salle Academy, Providence, RI, 1967"," B.S., U.S. Military Academy, West Point, NY, 1971"," M.P.P., Kennedy School of Government, Harvard University, 1973"," J.D., Harvard Law School, 1982"," served in the U.S. Army, 1967-79"," associate professor, Department of Social Sciences, U.S. Military Academy, West Point, NY, 1978-79"," 2nd BN (Abn) 504th Infantry, 82nd Airborne Division, Fort Bragg, NC"," platoon leader, company commander, battalion staff officer, 1973-77"," military awards: Army commendation medal with Oak Leaf Cluster, ranger, senior parachutist, jumpmaster, expert infantryman's badge", lawyer," admitted to the Washington, DC bar, 1983"," elected to the Rhode Island State Senate, 1985-90", committees: Armed Services," Banking, Housing, and Urban Affairs"," Health, Education, Labor, and Pensions", Joint Economic Committee," elected to the 102nd Congress on November 6, 1990", served three terms in the U.S. House of Representatives," elected to the U.S. Senate, November 5, 1996", reelected to each succeeding Senate term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44007,,,No matched places from Google,44007,,36071,,25017,,25017,,08071,,36071,,37051,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,44007,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,More than one matched place from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,2014,CA,H,14,JACKIE SPEIER,"JACKIE SPEIER, Democrat, of Hillsborough, CA; born in San Francisco, CA, May 14, 1950; education: B.A., University of California at Davis; J.D., University of California, Hastings College of the Law, 1976; legislative council, Congressman Leo J. Ryan; member, San Mateo County Board of Supervisors; member, California State Assembly; senator, California State Senate; married: Barry Dennis; two children: Jackson Sierra and Stephanie Sierra; committees: Armed Services; Oversight and Government Reform; elected in a special election, April 8, 2008, to fill the vacancy caused by the death of Representative Thomas P. Lantos; elected to the 111th Congress on November 4, 2008; reelected to each succeeding Congress.","JACKIE SPEIER, Democrat, of Hillsborough, CA"," born in San Francisco, CA, May 14, 1950"," education: B.A., University of California at Davis"," J.D., University of California, Hastings College of the Law, 1976"," legislative council, Congressman Leo J. Ryan"," member, San Mateo County Board of Supervisors"," member, California State Assembly"," senator, California State Senate", married: Barry Dennis, two children: Jackson Sierra and Stephanie Sierra, committees: Armed Services, Oversight and Government Reform," elected in a special election, April 8, 2008, to fill the vacancy caused by the death of Representative Thomas P. Lantos"," elected to the 111th Congress on November 4, 2008", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06081,,,No matched places from Google,06113,,06075,,,No matched places from Google,06081,,06065,,06037,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,2014,IN,H,2,JACKIE WALORSKI,"JACKIE WALORSKI, Republican, of Elkhart, IN; born in South Bend, IN, August 17, 1963; education: B.A., major: communications, Taylor University, Upland, IN, 1985; professional: served in the Indiana General Assembly from 2005-10; religion: Christian; married: Dean; committees: Armed Services; Budget; Veterans' Affairs; elected to the 113th Congress on November 6, 2012.","JACKIE WALORSKI, Republican, of Elkhart, IN"," born in South Bend, IN, August 17, 1963"," education: B.A., major: communications, Taylor University, Upland, IN, 1985", professional: served in the Indiana General Assembly from 2005-10, religion: Christian, married: Dean, committees: Armed Services, Budget, Veterans' Affairs," elected to the 113th Congress on November 6, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,18053,,18097,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,2016,WA,H,3,JAIME HERRERA BEUTLER,"JAIME HERRERA BEUTLER, Republican, of Camas, WA; born in Glendale, CA, November 3, 1978; education: communications, University of Washington, Seattle, WA, 2004; religion: Christian; family: married to Daniel Beutler; committees: Appropriations; elected to the 112th Congress on November 2, 2010; reelected to each succeeding Congress.[[Page 285]]","JAIME HERRERA BEUTLER, Republican, of Camas, WA"," born in Glendale, CA, November 3, 1978"," education: communications, University of Washington, Seattle, WA, 2004", religion: Christian, family: married to Daniel Beutler, committees: Appropriations," elected to the 112th Congress on November 2, 2010", reelected to each succeeding Congress.[[Page 285]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53011,,,No matched places from Google,53033,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,2002,MI,H,5,JAMES A. BARCIA,"JAMES A. BARCIA, Democrat, of Bay City, MI; born in Bay City, February 25, 1952; B.A., Saginaw Valley State University, 1974; serves on the Public Works and Transportation Committee and the Science, Space and Technology Committee; State Representative, 1976-82; State Senator, 1983-92; as a State Senator, served as assistant democratic whip, vice-chairperson of Natural Resources and Environmental Affairs Committee and Technology and Energy Committee, and member of the Agriculture and Forestry Committee; cofounder, Coalition of Michigan Sportsmen; member, Bay Area Chamber of Commerce; life member, Veterans of Foreign Wars National Home; member, National Rifle Association; member, Fraternal Order of Eagles, Gladwin County Aerie No. 3292; honorary lay member, The Michigan Association of Osteopathic Physicians and Surgeons; Michigan Jaycees Top Five IMPACT award; Bay City Jaycees Distinguished Service Award; Safari Club International's ``Legislator of the Year''; AMVETS award; married to Vicki Bartlett Barcia; elected on November 3, 1992 to the 103rd Congress; reelected to each succeeding Congress.","JAMES A. BARCIA, Democrat, of Bay City, MI"," born in Bay City, February 25, 1952"," B.A., Saginaw Valley State University, 1974"," serves on the Public Works and Transportation Committee and the Science, Space and Technology Committee"," State Representative, 1976-82"," State Senator, 1983-92"," as a State Senator, served as assistant democratic whip, vice-chairperson of Natural Resources and Environmental Affairs Committee and Technology and Energy Committee, and member of the Agriculture and Forestry Committee"," cofounder, Coalition of Michigan Sportsmen"," member, Bay Area Chamber of Commerce"," life member, Veterans of Foreign Wars National Home"," member, National Rifle Association"," member, Fraternal Order of Eagles, Gladwin County Aerie No. 3292"," honorary lay member, The Michigan Association of Osteopathic Physicians and Surgeons", Michigan Jaycees Top Five IMPACT award, Bay City Jaycees Distinguished Service Award, Safari Club International's ``Legislator of the Year'', AMVETS award, married to Vicki Bartlett Barcia," elected on November 3, 1992 to the 103rd Congress", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,26145,,,No matched places from Google,,No matched places from Google,06037,,,No matched places from Google,,No matched places from Google,26017,,,No matched places from Google,,No matched places from Google,26051,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,2000,NV,H,2,JAMES A. GIBBONS,"JAMES A. GIBBONS, Republican, of Reno, NV; born in Sparks, NV, December 16, 1944; B.S., geology, and M.S., mining geology, University of Nevada at Reno; J.D., Southwestern University; admitted to the Nevada bar in 1982 and began practice in Reno; colonel, U.S. Air Force, 1967-71; vice commander of the Nevada Air Guard since 1975; pilot, Delta Airlines; mining geologist; mining and water rights attorney; Nevada State Assemblyman, 1989-93; member: advisory board, Committee to Aid Abused Women; Nevada Landman's Association; American Association of Petroleum Landsmen; Nevada Bar Association; National Conference Board; University of Nevada Alumni Association; Reno Board of Realtors; board of directors, Nevada Council on Economic Education; Nevada Development Authority; married Theresa D. Snelling in 1986; three children: Christopher, Jennifer, and Jimmy; committees: Veterans' Affairs; Resources; Armed Services; elected to the 105th Congress; reelected to the 106th Congress.","JAMES A. GIBBONS, Republican, of Reno, NV"," born in Sparks, NV, December 16, 1944"," B.S., geology, and M.S., mining geology, University of Nevada at Reno"," J.D., Southwestern University", admitted to the Nevada bar in 1982 and began practice in Reno," colonel, U.S. Air Force, 1967-71", vice commander of the Nevada Air Guard since 1975," pilot, Delta Airlines", mining geologist, mining and water rights attorney," Nevada State Assemblyman, 1989-93"," member: advisory board, Committee to Aid Abused Women", Nevada Landman's Association, American Association of Petroleum Landsmen, Nevada Bar Association, National Conference Board, University of Nevada Alumni Association, Reno Board of Realtors," board of directors, Nevada Council on Economic Education", Nevada Development Authority, married Theresa D. Snelling in 1986," three children: Christopher, Jennifer, and Jimmy", committees: Veterans' Affairs, Resources, Armed Services, elected to the 105th Congress, reelected to the 106th Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,,More than one matched place from Google,,No matched places from Google,32031,,,No matched places from Google,32031,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,32003,,,No matched places from Google,32031,,32031,,,No matched places from Google,32003,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
